year,count,area_burned
1878,1,59468.88
1895,1,628.1136
1896,1,7531.717
1898,5,28244.1997
1900,9,24286.1792
1902,1,731.4816
1903,2,3649.3436
1905,1,214.2885
1906,3,3879.3332
1907,5,1102.5571
1908,12,19672.3424
1909,17,34791.5378
1910,68,253819.86380000002
1911,122,136716.9961
1912,37,40466.0239
1913,66,160850.7242
1914,60,71749.007
1915,83,53380.7933
1916,85,87081.4955
1917,217,437110.7494
1918,100,189217.5137
1919,123,243829.9256
1920,106,138014.244
1921,127,243982.4939
1922,91,341660.6663
1923,92,270886.6532
1924,192,608808.6355
1925,61,77341.3985
1926,128,258096.9373
1927,73,177247.51009999998
1928,123,549741.5659
1929,113,251138.9296
1930,74,48868.983
1931,125,263341.7961
1932,81,325913.3575
1933,41,90697.5518
1934,85,110825.1089
1935,41,63876.1557
1936,70,211785.8899
1937,29,20642.588
1938,56,117555.0361
1939,100,241444.66019999998
1940,67,127926.6965
1941,84,86704.9129
1942,86,261609.3469
1943,86,248085.8193
1944,105,342736.8708
1945,103,248101.5619
1946,60,104369.8369
1947,87,149644.7722
1948,46,175706.5962
1949,110,205917.5215
1950,204,537538.7196
1951,167,305721.2024
1952,127,132370.4735
1953,142,333854.8063
1954,125,218733.9816
1955,131,384397.83280000003
1956,81,177503.6166
1957,124,201923.7506
1958,141,251139.7587
1959,150,297925.8133
1960,89,344464.7245
1961,124,361937.4651
1962,79,131579.008
1963,50,31290.726
1964,100,295704.345
1965,41,82189.1807
1966,91,265087.5609
1967,81,236012.8628
1968,129,220761.622
1969,77,95483.61170000001
1970,140,673221.5967
1971,57,58402.4581
1972,85,90473.0025
1973,93,255412.8405
1974,116,134877.7324
1975,106,220463.187
1976,70,197372.9251
1977,71,463002.2292
1978,87,124483.2645
1979,259,375253.5584
1980,213,377139.3175
1981,177,310695.4036
1982,94,140755.0438
1983,109,84049.9098
1984,141,204633.8253
1985,139,564896.2278
1986,93,104213.3603
1987,203,860058.3195
1988,174,317983.9469
1989,94,132665.7774
1990,97,368937.10480000003
1991,45,38769.1521
1992,115,221199.202
1993,103,322349.1439
1994,122,372962.6972
1995,136,195536.3507
1996,211,668002.4647
1997,109,214827.4878
1998,102,162761.7238
1999,165,794195.8594
2000,92,246623.8348
2001,107,243461.0845
2002,115,959490.5882
2003,183,965263.4309
2004,115,260518.2682
2005,133,173386.2866
2006,168,738557.0595
2007,140,1033393.4214
2008,220,1375213.2982
2009,105,430578.9679
2010,79,97319.0984
2011,127,195145.3736
2012,104,748966.7154
2013,89,545185.4144
2014,73,533215.2431
2015,111,766292.6804
2016,105,540292.1464
2017,179,1381965.7865
2018,1,189.5374
