year,cause,count
1878,14 - Unknown / Unidentified,1
1895,14 - Unknown / Unidentified,1
1896,14 - Unknown / Unidentified,1
1898,14 - Unknown / Unidentified,5
1900,14 - Unknown / Unidentified,9
1902,14 - Unknown / Unidentified,1
1903,14 - Unknown / Unidentified,2
1905,14 - Unknown / Unidentified,1
1906,14 - Unknown / Unidentified,3
1907,14 - Unknown / Unidentified,5
1908,14 - Unknown / Unidentified,12
1909,14 - Unknown / Unidentified,17
1910,1 - Lightning,4
1910,14 - Unknown / Unidentified,48
1910,4 - Campfire,2
1910,5 - Debris,1
1910,7 - Arson,1
1910,9 - Miscellaneous,12
1911,1 - Lightning,4
1911,14 - Unknown / Unidentified,100
1911,7 - Arson,2
1911,9 - Miscellaneous,16
1912,1 - Lightning,1
1912,14 - Unknown / Unidentified,30
1912,9 - Miscellaneous,6
1913,1 - Lightning,3
1913,14 - Unknown / Unidentified,57
1913,9 - Miscellaneous,6
1914,1 - Lightning,3
1914,14 - Unknown / Unidentified,47
1914,9 - Miscellaneous,10
1915,1 - Lightning,3
1915,14 - Unknown / Unidentified,65
1915,5 - Debris,1
1915,9 - Miscellaneous,14
1916,1 - Lightning,3
1916,14 - Unknown / Unidentified,55
1916,2 - Equipment Use,1
1916,5 - Debris,2
1916,9 - Miscellaneous,24
1917,1 - Lightning,26
1917,14 - Unknown / Unidentified,146
1917,5 - Debris,8
1917,9 - Miscellaneous,37
1918,1 - Lightning,20
1918,14 - Unknown / Unidentified,57
1918,5 - Debris,2
1918,9 - Miscellaneous,21
1919,1 - Lightning,4
1919,14 - Unknown / Unidentified,98
1919,9 - Miscellaneous,21
1920,1 - Lightning,20
1920,14 - Unknown / Unidentified,70
1920,5 - Debris,1
1920,9 - Miscellaneous,15
1921,1 - Lightning,2
1921,14 - Unknown / Unidentified,90
1921,4 - Campfire,2
1921,9 - Miscellaneous,33
1922,1 - Lightning,4
1922,14 - Unknown / Unidentified,42
1922,3 - Smoking,1
1922,4 - Campfire,2
1922,5 - Debris,3
1922,9 - Miscellaneous,39
1923,1 - Lightning,2
1923,14 - Unknown / Unidentified,61
1923,9 - Miscellaneous,29
1924,1 - Lightning,22
1924,14 - Unknown / Unidentified,90
