month,year,count
Apr,1898,1
Sep,1898,2
Aug,1902,1
Oct,1903,1
Jun,1907,1
Sep,1908,1
Jul,1908,1
Sep,1909,1
Aug,1909,1
Aug,1910,4
Sep,1910,4
Jul,1910,3
Aug,1911,3
Sep,1911,1
Jul,1911,1
Aug,1912,1
Feb,1912,1
Aug,1913,1
Oct,1913,2
Sep,1913,2
Jun,1913,2
Oct,1915,1
Sep,1915,1
Aug,1915,2
Jun,1915,2
Nov,1916,1
Jun,1916,2
Sep,1916,4
Jul,1916,2
Aug,1916,3
Aug,1917,15
Oct,1917,7
Jul,1917,2
Jun,1917,2
Sep,1917,6
Oct,1918,1
Jul,1918,1
Sep,1918,1
Aug,1918,1
Jun,1918,8
Sep,1919,6
Aug,1919,3
Oct,1919,1
Jun,1919,1
Jul,1920,3
May,1920,1
Aug,1920,1
Oct,1921,2
Jul,1921,1
Sep,1921,2
Aug,1921,3
Jul,1922,3
Aug,1922,5
Sep,1922,6
Sep,1923,1
Dec,1923,1
Mar,1923,1
Aug,1923,2
Jul,1923,2
Jun,1924,2
Sep,1924,11
Apr,1924,2
Aug,1924,7
Jan,1924,1
Jul,1924,5
May,1924,1
Sep,1925,1
Mar,1925,2
Nov,1925,1
Jul,1925,4
Aug,1925,1
Sep,1926,4
Aug,1926,2
Jul,1926,6
Nov,1926,2
May,1927,1
Dec,1927,2
Oct,1927,1
Aug,1927,4
Sep,1927,1
Jul,1927,7
Apr,1927,1
Feb,1928,1
Jun,1928,5
Sep,1928,4
May,1928,2
Jul,1928,7
Aug,1928,4
Nov,1928,2
Aug,1929,10
Feb,1929,1
Dec,1929,2
Jul,1929,3
Oct,1929,4
Jun,1929,3
Nov,1929,5
Sep,1929,8
May,1929,1
Nov,1930,1
Jul,1930,4
Sep,1930,1
Aug,1930,3
Jul,1931,6
Sep,1931,4
Oct,1931,1
Jun,1931,2
Apr,1931,2
Aug,1931,9
Sep,1932,6
Nov,1932,1
Aug,1932,3
Oct,1932,5
Nov,1933,1
Aug,1933,4
Jan,1933,1
Sep,1933,1
Jul,1933,1
Sep,1934,5
Mar,1934,1
Jul,1934,7
Aug,1934,4
Sep,1935,1
Aug,1935,2
Jun,1935,1
Jul,1935,2
Oct,1935,6
Nov,1936,2
Sep,1936,7
Oct,1936,4
May,1936,1
Jul,1936,3
Jun,1936,2
Jan,1936,1
Aug,1936,5
Dec,1937,1
Sep,1937,1
Jul,1937,5
Aug,1937,1
Jul,1938,6
Aug,1938,2
Nov,1938,5
Oct,1938,1
Sep,1938,3
May,1939,2
Jun,1939,2
Nov,1939,2
Aug,1939,10
Jul,1939,8
Sep,1939,6
Oct,1939,1
Jul,1940,8
Jun,1940,1
Aug,1940,10
Oct,1940,1
Jun,1941,3
Nov,1941,1
Aug,1941,3
Sep,1941,3
Jul,1941,6
Oct,1941,4
Oct,1942,4
Sep,1942,2
Jun,1942,1
Apr,1942,1
May,1942,2
Nov,1942,2
Aug,1942,6
Jul,1942,4
Oct,1943,2
Nov,1943,6
May,1943,3
Jul,1943,8
Jun,1943,3
Aug,1943,5
Sep,1943,7
Jun,1944,5
Jul,1944,3
Oct,1944,1
May,1944,1
Aug,1944,9
Apr,1944,1
Sep,1944,16
Jun,1945,1
Aug,1945,9
Jul,1945,5
Oct,1945,8
Sep,1945,17
Sep,1946,13
Jun,1946,3
Jul,1946,5
Nov,1946,2
Aug,1946,3
Oct,1946,1
Sep,1947,7
Jul,1947,9
Jun,1947,2
Aug,1947,7
Nov,1947,1
Apr,1947,1
May,1947,2
Nov,1948,2
Aug,1948,3
Jan,1948,2
Sep,1948,4
Jun,1949,1
Jul,1949,8
Sep,1949,19
Aug,1949,8
May,1949,1
Nov,1949,3
Apr,1949,1
Oct,1949,3
May,1950,2
Sep,1950,38
Dec,1950,1
Jun,1950,13
Jul,1950,36
Aug,1950,54
Oct,1950,13
Nov,1950,6
May,1951,2
Jul,1951,32
Aug,1951,46
Apr,1951,1
Nov,1951,2
Jun,1951,12
Sep,1951,35
Mar,1951,1
Oct,1951,2
Dec,1951,1
May,1952,2
Aug,1952,31
Sep,1952,37
Oct,1952,14
Jun,1952,6
Nov,1952,3
Apr,1952,1
Jul,1952,16
Sep,1953,15
Dec,1953,3
Jul,1953,29
Jun,1953,12
Feb,1953,2
Oct,1953,20
Aug,1953,21
May,1953,6
Jul,1954,49
Jun,1954,12
Nov,1954,2
Feb,1954,1
Mar,1954,1
May,1954,2
Dec,1954,3
Aug,1954,19
Oct,1954,4
Sep,1954,15
Sep,1955,49
Oct,1955,5
Feb,1955,1
Jul,1955,14
Jun,1955,6
Nov,1955,4
Aug,1955,37
Aug,1956,21
Nov,1956,10
Sep,1956,21
Jul,1956,6
Jun,1956,2
Oct,1956,3
Dec,1956,6
Sep,1957,31
Jun,1957,19
Aug,1957,29
Nov,1957,1
Jul,1957,22
Oct,1957,1
Jul,1958,37
Sep,1958,37
Oct,1958,15
Nov,1958,3
Dec,1958,8
Aug,1958,18
Jun,1958,3
May,1958,4
May,1959,1
Dec,1959,1
Jul,1959,33
Nov,1959,9
Aug,1959,31
Oct,1959,19
Jun,1959,21
Apr,1959,2
Sep,1959,5
Aug,1960,16
May,1960,2
Jun,1960,9
Jul,1960,18
Dec,1960,1
Oct,1960,4
Sep,1960,8
Jan,1961,3
Aug,1961,18
Apr,1961,1
Sep,1961,32
Jul,1961,28
Oct,1961,7
May,1961,1
Jun,1961,14
Feb,1961,1
Nov,1961,5
Apr,1962,1
Dec,1962,3
Jun,1962,7
May,1962,2
Sep,1962,10
Aug,1962,20
Jul,1962,13
Jan,1962,4
Oct,1962,1
Jul,1963,9
Aug,1963,17
Sep,1963,8
Jun,1963,3
Jan,1963,1
Sep,1964,18
Oct,1964,5
Apr,1964,2
Mar,1964,5
Jul,1964,22
Feb,1964,2
Aug,1964,18
Jun,1964,10
May,1964,2
Jul,1965,2
Jun,1965,1
Nov,1965,1
Oct,1965,7
Sep,1965,15
Aug,1965,6
Jul,1966,9
Jun,1966,19
Sep,1966,8
Apr,1966,3
Jan,1966,1
Nov,1966,3
Aug,1966,13
Oct,1966,6
May,1966,6
Sep,1967,4
May,1967,1
Oct,1967,19
Jul,1967,14
Jun,1967,5
Aug,1967,21
Nov,1967,1
Jun,1968,25
Sep,1968,22
Oct,1968,5
Aug,1968,18
May,1968,3
Apr,1968,2
Jul,1968,29
Jun,1969,6
Aug,1969,15
Jan,1969,1
Jul,1969,11
Sep,1969,12
Nov,1969,4
Oct,1969,9
May,1969,3
Sep,1970,42
Oct,1970,7
Jun,1970,16
Nov,1970,6
Aug,1970,14
Mar,1970,1
Apr,1970,1
May,1970,18
Jul,1970,22
Nov,1971,2
Jul,1971,9
Jun,1971,5
Aug,1971,16
Oct,1971,6
Apr,1971,1
Sep,1971,13
Dec,1971,1
Oct,1972,1
Jul,1972,19
Apr,1972,1
Jun,1972,8
Sep,1972,10
Aug,1972,28
Mar,1972,1
Jan,1972,1
May,1972,7
May,1973,2
Jun,1973,21
Sep,1973,15
Aug,1973,19
Oct,1973,6
Nov,1973,1
Jul,1973,17
Nov,1974,2
Sep,1974,19
Apr,1974,2
Jul,1974,25
Aug,1974,20
Oct,1974,2
Jun,1974,24
May,1974,12
Feb,1974,1
Dec,1975,2
May,1975,5
Nov,1975,8
Jun,1975,13
Oct,1975,2
Jul,1975,22
Sep,1975,17
Aug,1975,17
May,1976,2
Nov,1976,5
Jul,1976,10
Aug,1976,5
Dec,1976,1
