unit,lat,lon,year,count,area_burned
Los Angeles County,34.05513,-118.25703,1878,1,59468.88
Los Angeles County,34.05513,-118.25703,1895,1,628.1136
Los Angeles County,34.05513,-118.25703,1896,1,7531.717
Los Angeles County,34.05513,-118.25703,1898,2,2088.5417
Ventura County,34.27834,-119.29317,1898,3,26155.658
Riverside CAL FIRE,33.496892,-117.1504,1900,2,1734.4069
Los Angeles County,34.05513,-118.25703,1900,2,19481.554
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1900,1,442.6461
San Bernardino National Forest,34.090473,-117.260245,1900,1,1300.429
Plumas National Forest,39.937816,-120.94114,1900,1,419.3985
Fresno-Kings CAL FIRE,36.75156,-119.800612,1900,2,907.7447
Ventura County,34.27834,-119.29317,1902,1,731.4816
Ventura County,34.27834,-119.29317,1903,1,380.2606
Los Angeles County,34.05513,-118.25703,1903,1,3269.083
Los Angeles County,34.05513,-118.25703,1905,1,214.2885
San Bernardino National Forest,34.090473,-117.260245,1906,3,3879.3332
Los Angeles County,34.05513,-118.25703,1907,2,409.40369999999996
San Bernardino National Forest,34.090473,-117.260245,1907,3,693.1533999999999
San Bernardino National Forest,34.090473,-117.260245,1908,3,1736.3363
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1908,1,7433.902
Tahoe National Forest,39.301182,-120.678146,1908,4,2279.3648
Stanislaus National Forest,38.036256,-120.283203,1908,3,7363.3904999999995
Ventura County,34.27834,-119.29317,1908,1,859.3488
San Bernardino National Forest,34.090473,-117.260245,1909,2,682.4293
Tahoe National Forest,39.301182,-120.678146,1909,9,5727.0594
Los Angeles County,34.05513,-118.25703,1909,2,554.8574
Ventura County,34.27834,-119.29317,1909,1,3174.515
Stanislaus National Forest,38.036256,-120.283203,1909,3,24652.6767
Tahoe National Forest,39.301182,-120.678146,1910,23,25136.545
Ventura County,34.27834,-119.29317,1910,1,11226.82
Los Angeles County,34.05513,-118.25703,1910,4,803.4358
Angeles National Forest,34.181417,-118.074422,1910,4,2337.1945
Sequoia National Forest,36.032162,-119.078781,1910,6,6856.3516
Cleveland National Forest,33.022118,-117.094959,1910,10,6790.5219
Six Rivers National Forest,41.840065,-123.997312,1910,8,3246.1587
Stanislaus National Forest,38.036256,-120.283203,1910,6,18628.7506
Lassen National Forest,40.20725,-120.90771,1910,2,28374.459
Modoc National Forest,41.339102,-121.147262,1910,4,150419.6267
Sierra National Forest,36.829829,-119.684965,1911,16,20389.6241
Tahoe National Forest,39.301182,-120.678146,1911,8,3221.7014
Klamath National Forest,41.336017,-122.841974,1911,2,2516.501
San Bernardino National Forest,34.090473,-117.260245,1911,6,25746.141200000002
Cleveland National Forest,33.022118,-117.094959,1911,21,37844.5851
Six Rivers National Forest,41.840065,-123.997312,1911,3,2029.9092999999998
Angeles National Forest,34.181417,-118.074422,1911,22,5683.8453
Modoc National Forest,41.339102,-121.147262,1911,1,131.7615
Los Angeles County,34.05513,-118.25703,1911,13,18077.835900000002
Sequoia National Forest,36.032162,-119.078781,1911,2,433.7097
Los Padres National Forest,34.768611,-120.061716,1911,3,7074.363600000001
Stanislaus National Forest,38.036256,-120.283203,1911,7,2614.4177999999997
