unit,lat,lon,year,count
Los Angeles County,34.05513,-118.25703,1878,1
Los Angeles County,34.05513,-118.25703,1895,1
Los Angeles County,34.05513,-118.25703,1896,1
Los Angeles County,34.05513,-118.25703,1898,2
Ventura County,34.27834,-119.29317,1898,3
Fresno-Kings CAL FIRE,36.75156,-119.800612,1900,2
San Bernardino National Forest,34.090473,-117.260245,1900,1
Plumas National Forest,39.937816,-120.94114,1900,1
Los Angeles County,34.05513,-118.25703,1900,2
Riverside CAL FIRE,33.496892,-117.1504,1900,2
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1900,1
Ventura County,34.27834,-119.29317,1902,1
Ventura County,34.27834,-119.29317,1903,1
Los Angeles County,34.05513,-118.25703,1903,1
Los Angeles County,34.05513,-118.25703,1905,1
San Bernardino National Forest,34.090473,-117.260245,1906,3
Los Angeles County,34.05513,-118.25703,1907,2
San Bernardino National Forest,34.090473,-117.260245,1907,3
Ventura County,34.27834,-119.29317,1908,1
Tahoe National Forest,39.301182,-120.678146,1908,4
Stanislaus National Forest,38.036256,-120.283203,1908,3
San Bernardino National Forest,34.090473,-117.260245,1908,3
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1908,1
San Bernardino National Forest,34.090473,-117.260245,1909,2
Tahoe National Forest,39.301182,-120.678146,1909,9
Los Angeles County,34.05513,-118.25703,1909,2
Ventura County,34.27834,-119.29317,1909,1
Stanislaus National Forest,38.036256,-120.283203,1909,3
Sequoia National Forest,36.032162,-119.078781,1910,6
Modoc National Forest,41.339102,-121.147262,1910,4
Lassen National Forest,40.20725,-120.90771,1910,2
Stanislaus National Forest,38.036256,-120.283203,1910,6
Six Rivers National Forest,41.840065,-123.997312,1910,8
Los Angeles County,34.05513,-118.25703,1910,4
Angeles National Forest,34.181417,-118.074422,1910,4
Ventura County,34.27834,-119.29317,1910,1
Tahoe National Forest,39.301182,-120.678146,1910,23
Cleveland National Forest,33.022118,-117.094959,1910,10
Los Angeles County,34.05513,-118.25703,1911,13
Sequoia National Forest,36.032162,-119.078781,1911,2
Modoc National Forest,41.339102,-121.147262,1911,1
Lassen National Forest,40.20725,-120.90771,1911,18
Stanislaus National Forest,38.036256,-120.283203,1911,7
Angeles National Forest,34.181417,-118.074422,1911,22
Los Padres National Forest,34.768611,-120.061716,1911,3
Cleveland National Forest,33.022118,-117.094959,1911,21
San Bernardino National Forest,34.090473,-117.260245,1911,6
Klamath National Forest,41.336017,-122.841974,1911,2
Six Rivers National Forest,41.840065,-123.997312,1911,3
Tahoe National Forest,39.301182,-120.678146,1911,8
Sierra National Forest,36.829829,-119.684965,1911,16
Angeles National Forest,34.181417,-118.074422,1912,5
San Bernardino National Forest,34.090473,-117.260245,1912,6
Stanislaus National Forest,38.036256,-120.283203,1912,8
Los Padres National Forest,34.768611,-120.061716,1912,7
Los Angeles County,34.05513,-118.25703,1912,2
Tahoe National Forest,39.301182,-120.678146,1912,1
Cleveland National Forest,33.022118,-117.094959,1912,5
Sequoia National Forest,36.032162,-119.078781,1912,2
Ventura County,34.27834,-119.29317,1912,1
Angeles National Forest,34.181417,-118.074422,1913,4
San Bernardino National Forest,34.090473,-117.260245,1913,4
Ventura County,34.27834,-119.29317,1913,1
Los Padres National Forest,34.768611,-120.061716,1913,19
Six Rivers National Forest,41.840065,-123.997312,1913,1
Los Angeles County,34.05513,-118.25703,1913,13
Cleveland National Forest,33.022118,-117.094959,1913,11
Tahoe National Forest,39.301182,-120.678146,1913,3
Stanislaus National Forest,38.036256,-120.283203,1913,10
Los Angeles County,34.05513,-118.25703,1914,1
Stanislaus National Forest,38.036256,-120.283203,1914,5
Cleveland National Forest,33.022118,-117.094959,1914,11
San Bernardino National Forest,34.090473,-117.260245,1914,10
Los Padres National Forest,34.768611,-120.061716,1914,14
Angeles National Forest,34.181417,-118.074422,1914,9
Klamath National Forest,41.336017,-122.841974,1914,2
Sequoia National Forest,36.032162,-119.078781,1914,5
Plumas National Forest,39.937816,-120.94114,1914,1
Tahoe National Forest,39.301182,-120.678146,1914,2
Angeles National Forest,34.181417,-118.074422,1915,11
Tahoe National Forest,39.301182,-120.678146,1915,4
Stanislaus National Forest,38.036256,-120.283203,1915,5
Sequoia National Forest,36.032162,-119.078781,1915,1
Los Angeles County,34.05513,-118.25703,1915,2
Riverside CAL FIRE,33.496892,-117.1504,1915,2
San Bernardino National Forest,34.090473,-117.260245,1915,6
Modoc National Forest,41.339102,-121.147262,1915,2
Six Rivers National Forest,41.840065,-123.997312,1915,3
Cleveland National Forest,33.022118,-117.094959,1915,11
Los Padres National Forest,34.768611,-120.061716,1915,27
Klamath National Forest,41.336017,-122.841974,1915,9
San Bernardino National Forest,34.090473,-117.260245,1916,6
Mendocino National Forest,39.172201,-122.90607,1916,1
Eldorado National Forest,38.721085,-120.829644,1916,9
Los Padres National Forest,34.768611,-120.061716,1916,15
Lassen National Forest,40.20725,-120.90771,1916,1
Plumas National Forest,39.937816,-120.94114,1916,4
Stanislaus National Forest,38.036256,-120.283203,1916,2
Cleveland National Forest,33.022118,-117.094959,1916,3
Angeles National Forest,34.181417,-118.074422,1916,18
Sequoia National Forest,36.032162,-119.078781,1916,5
Modoc National Forest,41.339102,-121.147262,1916,1
Sierra National Forest,36.829829,-119.684965,1916,6
Tahoe National Forest,39.301182,-120.678146,1916,9
Six Rivers National Forest,41.840065,-123.997312,1916,3
Los Angeles County,34.05513,-118.25703,1916,2
Sierra National Forest,36.829829,-119.684965,1917,15
Lassen National Forest,40.20725,-120.90771,1917,34
Tahoe National Forest,39.301182,-120.678146,1917,16
Six Rivers National Forest,41.840065,-123.997312,1917,17
Eldorado National Forest,38.721085,-120.829644,1917,18
Los Padres National Forest,34.768611,-120.061716,1917,19
Angeles National Forest,34.181417,-118.074422,1917,12
Plumas National Forest,39.937816,-120.94114,1917,10
Modoc National Forest,41.339102,-121.147262,1917,2
Stanislaus National Forest,38.036256,-120.283203,1917,7
Los Angeles County,34.05513,-118.25703,1917,4
Klamath National Forest,41.336017,-122.841974,1917,27
San Bernardino National Forest,34.090473,-117.260245,1917,7
Cleveland National Forest,33.022118,-117.094959,1917,17
Sequoia National Forest,36.032162,-119.078781,1917,9
Riverside CAL FIRE,33.496892,-117.1504,1917,3
Sierra National Forest,36.829829,-119.684965,1918,4
Cleveland National Forest,33.022118,-117.094959,1918,1
Modoc National Forest,41.339102,-121.147262,1918,5
Six Rivers National Forest,41.840065,-123.997312,1918,5
Klamath National Forest,41.336017,-122.841974,1918,19
San Bernardino National Forest,34.090473,-117.260245,1918,3
Sequoia National Forest,36.032162,-119.078781,1918,3
Tahoe National Forest,39.301182,-120.678146,1918,15
Stanislaus National Forest,38.036256,-120.283203,1918,2
Los Padres National Forest,34.768611,-120.061716,1918,7
Lassen National Forest,40.20725,-120.90771,1918,17
Eldorado National Forest,38.721085,-120.829644,1918,7
Plumas National Forest,39.937816,-120.94114,1918,8
Angeles National Forest,34.181417,-118.074422,1918,4
Cleveland National Forest,33.022118,-117.094959,1919,15
Lassen National Forest,40.20725,-120.90771,1919,6
Los Padres National Forest,34.768611,-120.061716,1919,8
Plumas National Forest,39.937816,-120.94114,1919,12
Modoc National Forest,41.339102,-121.147262,1919,3
Sequoia National Forest,36.032162,-119.078781,1919,5
Eldorado National Forest,38.721085,-120.829644,1919,9
Sierra National Forest,36.829829,-119.684965,1919,9
Klamath National Forest,41.336017,-122.841974,1919,10
Angeles National Forest,34.181417,-118.074422,1919,18
Los Angeles County,34.05513,-118.25703,1919,3
Riverside CAL FIRE,33.496892,-117.1504,1919,1
Tahoe National Forest,39.301182,-120.678146,1919,13
San Bernardino National Forest,34.090473,-117.260245,1919,7
Stanislaus National Forest,38.036256,-120.283203,1919,4
Lassen National Forest,40.20725,-120.90771,1920,16
Angeles National Forest,34.181417,-118.074422,1920,11
Shasta-Trinity National Forest,40.520709,-122.301395,1920,1
Stanislaus National Forest,38.036256,-120.283203,1920,7
Six Rivers National Forest,41.840065,-123.997312,1920,1
Sierra National Forest,36.829829,-119.684965,1920,6
Los Padres National Forest,34.768611,-120.061716,1920,13
Mendocino National Forest,39.172201,-122.90607,1920,1
Sequoia National Forest,36.032162,-119.078781,1920,1
Riverside CAL FIRE,33.496892,-117.1504,1920,1
San Bernardino National Forest,34.090473,-117.260245,1920,3
Tahoe National Forest,39.301182,-120.678146,1920,2
Eldorado National Forest,38.721085,-120.829644,1920,4
Modoc National Forest,41.339102,-121.147262,1920,5
Cleveland National Forest,33.022118,-117.094959,1920,4
Klamath National Forest,41.336017,-122.841974,1920,10
Plumas National Forest,39.937816,-120.94114,1920,20
Tahoe National Forest,39.301182,-120.678146,1921,1
San Bernardino National Forest,34.090473,-117.260245,1921,13
Stanislaus National Forest,38.036256,-120.283203,1921,5
Los Angeles County,34.05513,-118.25703,1921,9
Eldorado National Forest,38.721085,-120.829644,1921,1
Angeles National Forest,34.181417,-118.074422,1921,21
Riverside CAL FIRE,33.496892,-117.1504,1921,1
Cleveland National Forest,33.022118,-117.094959,1921,11
Sequoia National Forest,36.032162,-119.078781,1921,6
Sequoia - Kings Canyon NP,36.49042,-118.82488,1921,1
Lassen National Forest,40.20725,-120.90771,1921,8
Plumas National Forest,39.937816,-120.94114,1921,12
Klamath National Forest,41.336017,-122.841974,1921,2
Modoc National Forest,41.339102,-121.147262,1921,1
Los Padres National Forest,34.768611,-120.061716,1921,26
Sierra National Forest,36.829829,-119.684965,1921,8
Mendocino National Forest,39.172201,-122.90607,1921,1
Six Rivers National Forest,41.840065,-123.997312,1922,4
Stanislaus National Forest,38.036256,-120.283203,1922,4
Sequoia National Forest,36.032162,-119.078781,1922,1
Mendocino National Forest,39.172201,-122.90607,1922,3
San Bernardino National Forest,34.090473,-117.260245,1922,1
Klamath National Forest,41.336017,-122.841974,1922,1
Sierra National Forest,36.829829,-119.684965,1922,8
Los Angeles County,34.05513,-118.25703,1922,7
Los Padres National Forest,34.768611,-120.061716,1922,18
Eldorado National Forest,38.721085,-120.829644,1922,2
Angeles National Forest,34.181417,-118.074422,1922,11
Lassen National Forest,40.20725,-120.90771,1922,5
Modoc National Forest,41.339102,-121.147262,1922,1
Sequoia - Kings Canyon NP,36.49042,-118.82488,1922,3
Cleveland National Forest,33.022118,-117.094959,1922,3
Shasta-Trinity National Forest,40.520709,-122.301395,1922,18
Riverside CAL FIRE,33.496892,-117.1504,1922,1
Mendocino National Forest,39.172201,-122.90607,1923,3
Marin County,37.87136,-122.513604,1923,1
Six Rivers National Forest,41.840065,-123.997312,1923,1
Plumas National Forest,39.937816,-120.94114,1923,1
Klamath National Forest,41.336017,-122.841974,1923,1
Angeles National Forest,34.181417,-118.074422,1923,14
Eldorado National Forest,38.721085,-120.829644,1923,3
Riverside CAL FIRE,33.496892,-117.1504,1923,6
Sierra National Forest,36.829829,-119.684965,1923,4
Stanislaus National Forest,38.036256,-120.283203,1923,2
Shasta-Trinity National Forest,40.520709,-122.301395,1923,6
Sequoia National Forest,36.032162,-119.078781,1923,2
Cleveland National Forest,33.022118,-117.094959,1923,7
San Bernardino National Forest,34.090473,-117.260245,1923,12
Los Angeles County,34.05513,-118.25703,1923,5
Los Padres National Forest,34.768611,-120.061716,1923,21
Tahoe National Forest,39.301182,-120.678146,1923,3
Sequoia National Forest,36.032162,-119.078781,1924,10
Mendocino National Forest,39.172201,-122.90607,1924,2
Klamath National Forest,41.336017,-122.841974,1924,13
Shasta-Trinity National Forest,40.520709,-122.301395,1924,41
Cleveland National Forest,33.022118,-117.094959,1924,5
Six Rivers National Forest,41.840065,-123.997312,1924,10
Lassen National Forest,40.20725,-120.90771,1924,14
San Bernardino National Forest,34.090473,-117.260245,1924,10
Angeles National Forest,34.181417,-118.074422,1924,10
Stanislaus National Forest,38.036256,-120.283203,1924,4
Los Padres National Forest,34.768611,-120.061716,1924,16
Plumas National Forest,39.937816,-120.94114,1924,1
Sierra National Forest,36.829829,-119.684965,1924,12
Eldorado National Forest,38.721085,-120.829644,1924,9
Modoc National Forest,41.339102,-121.147262,1924,6
Tahoe National Forest,39.301182,-120.678146,1924,24
Sequoia - Kings Canyon NP,36.49042,-118.82488,1924,1
Los Angeles County,34.05513,-118.25703,1924,3
Riverside CAL FIRE,33.496892,-117.1504,1924,1
Six Rivers National Forest,41.840065,-123.997312,1925,2
Sequoia National Forest,36.032162,-119.078781,1925,2
Stanislaus National Forest,38.036256,-120.283203,1925,10
Cleveland National Forest,33.022118,-117.094959,1925,12
Los Padres National Forest,34.768611,-120.061716,1925,7
Modoc National Forest,41.339102,-121.147262,1925,1
Toiyabe National Forest,38.62689,-119.3935,1925,1
Eldorado National Forest,38.721085,-120.829644,1925,2
Sierra National Forest,36.829829,-119.684965,1925,5
Los Angeles County,34.05513,-118.25703,1925,3
San Bernardino National Forest,34.090473,-117.260245,1925,7
Klamath National Forest,41.336017,-122.841974,1925,3
Angeles National Forest,34.181417,-118.074422,1925,3
Lassen National Forest,40.20725,-120.90771,1925,2
Tulare County,36.210334,-119.335214,1925,1
Lassen National Forest,40.20725,-120.90771,1926,19
Tahoe National Forest,39.301182,-120.678146,1926,15
Riverside CAL FIRE,33.496892,-117.1504,1926,1
Mendocino National Forest,39.172201,-122.90607,1926,1
Six Rivers National Forest,41.840065,-123.997312,1926,1
Plumas National Forest,39.937816,-120.94114,1926,12
Eldorado National Forest,38.721085,-120.829644,1926,5
Angeles National Forest,34.181417,-118.074422,1926,1
San Bernardino National Forest,34.090473,-117.260245,1926,5
Los Angeles County,34.05513,-118.25703,1926,4
Sequoia National Forest,36.032162,-119.078781,1926,14
Stanislaus National Forest,38.036256,-120.283203,1926,8
Los Padres National Forest,34.768611,-120.061716,1926,11
Sierra National Forest,36.829829,-119.684965,1926,10
Klamath National Forest,41.336017,-122.841974,1926,8
Modoc National Forest,41.339102,-121.147262,1926,3
Santa Barbara County,34.389656,-119.702652,1926,1
Cleveland National Forest,33.022118,-117.094959,1926,7
Sequoia - Kings Canyon NP,36.49042,-118.82488,1926,2
Sierra National Forest,36.829829,-119.684965,1927,2
Six Rivers National Forest,41.840065,-123.997312,1927,3
Eldorado National Forest,38.721085,-120.829644,1927,3
Los Padres National Forest,34.768611,-120.061716,1927,9
Stanislaus National Forest,38.036256,-120.283203,1927,4
Los Angeles County,34.05513,-118.25703,1927,13
San Bernardino National Forest,34.090473,-117.260245,1927,5
Mendocino National Forest,39.172201,-122.90607,1927,2
Cleveland National Forest,33.022118,-117.094959,1927,10
Tahoe National Forest,39.301182,-120.678146,1927,3
Plumas National Forest,39.937816,-120.94114,1927,7
Angeles National Forest,34.181417,-118.074422,1927,8
Sequoia National Forest,36.032162,-119.078781,1927,4
Cleveland National Forest,33.022118,-117.094959,1928,11
Sequoia National Forest,36.032162,-119.078781,1928,13
Stanislaus National Forest,38.036256,-120.283203,1928,3
Los Padres National Forest,34.768611,-120.061716,1928,20
Modoc National Forest,41.339102,-121.147262,1928,4
Sierra National Forest,36.829829,-119.684965,1928,10
Los Angeles County,34.05513,-118.25703,1928,19
Lassen National Forest,40.20725,-120.90771,1928,4
Sequoia - Kings Canyon NP,36.49042,-118.82488,1928,1
Angeles National Forest,34.181417,-118.074422,1928,3
Six Rivers National Forest,41.840065,-123.997312,1928,4
Riverside CAL FIRE,33.496892,-117.1504,1928,1
Tahoe National Forest,39.301182,-120.678146,1928,3
Plumas National Forest,39.937816,-120.94114,1928,8
Mendocino National Forest,39.172201,-122.90607,1928,5
Klamath National Forest,41.336017,-122.841974,1928,4
San Bernardino National Forest,34.090473,-117.260245,1928,7
Eldorado National Forest,38.721085,-120.829644,1928,3
San Bernardino National Forest,34.090473,-117.260245,1929,7
