year,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,report_ac,gis_acres,c_method,objective,unit,lat,lon
1878,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,59468.88,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1895,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,628.1136,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1896,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,7531.717,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1898,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,1660.103,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1898,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,428.4387,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1900,Contract County,Los Angeles County,BIG FIRE,0,,,14 - Unknown / Unidentified,,2521.064,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1900,Contract County,Los Angeles County,BIG FIRE,0,,,14 - Unknown / Unidentified,,16960.49,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1903,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,3269.083,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1905,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,214.2885,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1907,Contract County,Los Angeles County, ,0,1907-06-19 00:00:00,,14 - Unknown / Unidentified,,239.093,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1907,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,170.3107,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1909,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,104.3227,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1909,Contract County,Los Angeles County,SHOEMAKER,0,1909-08-14 00:00:00,,14 - Unknown / Unidentified,,450.5347,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1910,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,103.3103,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1910,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,106.3393,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1910,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,105.5333,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1910,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,488.2529,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,193.4285,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,514.5451,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,281.6095,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,237.7941,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,245.8525,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,148.4617,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,488.8959,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,323.6953,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
